"danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","genre","popularity","target"
0.72,0.624,0.7579,0,0.0473,0.795,0,0.488,0.887,0.497,0.0349,4,6,24,1
0.357,0.216,0.6872,1,0.0343,0.767,0,0.531,0.283,0.4953,0.05,4,6,70,1
0.257,0.378,0.748,1,0.0329,0.739,1e-04,0.12,0.385,0.3378,0.043,4,7,45,0
0.763,0.621,0.7424,1,0.0374,0.655,0,0.158,0.825,0.4279,0.0311,4,12,60,1
0.608,0.0113,0.3194,1,0.0677,0.934,0.812,0.107,0.15,0.4778,0.0387,4,6,38,0
0.238,0.28,0.7123,1,0.0307,0.943,1e-04,0.331,0.275,0.3199,0.042,3,6,0,0
0.548,0.566,0.7053,1,0.0307,0.672,0,0.112,0.805,0.4176,0.0415,4,9,67,1
0.458,0.25,0.7768,1,0.0324,0.461,0,0.136,0.412,0.5015,0.0467,3,6,76,1
0.471,0.579,0.6912,1,0.0278,0.123,0.68,0.429,0.386,0.3861,0.0588,4,6,49,1
0.253,0.04,0.4495,0,0.0391,0.661,0.302,0.114,0.0379,0.3877,0.0158,3,5,54,0
0.42,0.483,0.6726,1,0.033,0.165,0,0.111,0.533,0.3887,0.0365,4,3,80,1
0.29,0.2,0.6888,1,0.0275,0.894,6e-04,0.221,0.233,0.3672,0.0357,4,2,52,1
0.683,0.673,0.733,1,0.0421,0.19,0,0.561,0.756,0.5005,0.0332,4,5,67,1
0.344,0.431,0.7476,1,0.0314,0.793,0,0.19,0.688,0.4389,0.0389,3,1,50,1
0.306,0.257,0.7282,1,0.0309,0.941,0.0065,0.118,0.157,0.6012,0.0348,4,6,46,1
0.465,0.276,0.6806,1,0.0242,0.809,3e-04,0.214,0.233,0.3422,0.0353,4,3,33,1
0.538,0.568,0.8218,1,0.0266,0.376,0.829,0.169,0.712,0.4117,0.0273,3,1,50,1
0.519,0.45,0.757,1,0.0244,0.281,0,0.152,0.549,0.2987,0.0308,4,1,29,1
0.445,0.407,0.7501,1,0.0302,0.814,0,0.0964,0.531,0.4378,0.0412,4,6,47,1
0.579,0.332,0.6148,0,0.035,0.904,0.898,0.243,0.774,0.3388,0.0582,4,6,47,0
0.256,0.355,0.6873,1,0.0434,0.802,2e-04,0.254,0.372,0.2994,0.0397,4,5,18,1
0.569,0.369,0.7316,0,0.0269,0.491,1e-04,0.103,0.562,0.4701,0.0344,4,3,59,0
0.593,0.363,0.6698,1,0.0345,0.811,0,0.212,0.783,0.5455,0.0291,4,5,46,1
0.725,0.435,0.6608,1,0.0419,0.154,8e-04,0.188,0.866,0.5114,0.0328,4,1,50,1
0.629,0.795,0.8158,1,0.0278,0.136,0,0.132,0.6,0.458,0.0421,3,1,58,1
0.473,0.434,0.7403,1,0.0257,0.701,0,0.628,0.711,0.3927,0.0325,3,5,56,1
0.766,0.176,0.5377,0,0.0945,0.605,0,0.0656,0.687,0.3745,0.0357,4,5,60,1
0.646,0.526,0.7208,0,0.0456,0.921,0.801,0.103,0.726,0.6172,0.0288,4,6,52,1
0.311,0.361,0.754,1,0.0303,0.919,0.145,0.177,0.28,0.321,0.039,1,6,46,1
0.654,0.452,0.7462,1,0.03,0.835,0,0.16,0.691,0.4418,0.0588,3,2,64,1
0.356,0.408,0.756,0,0.0325,0.113,0.621,0.12,0.0344,0.5172,0.0597,4,10,38,0
0.494,0.445,0.8053,1,0.0252,0.472,0,0.094,0.4,0.3289,0.0479,4,6,43,0
0.804,0.364,0.7278,1,0.062,0.625,0.899,0.166,0.556,0.5592,0.0303,4,7,26,1
0.411,0.505,0.7542,1,0.0427,0.472,0,0.129,0.486,0.372,0.0265,4,4,31,1
0.699,0.536,0.7183,1,0.0315,0.616,0.0128,0.0876,0.916,0.5715,0.0403,4,7,23,1
0.808,0.705,0.7676,0,0.0714,0.134,0.95,0.0493,0.968,0.5806,0.0361,4,10,20,0
0.6,0.184,0.6242,1,0.0361,0.552,0.028,0.11,0.494,0.5907,0.0289,4,6,52,0
0.692,0.641,0.7478,1,0.0603,0.265,5e-04,0.0642,0.848,0.5023,0.0399,4,9,64,1
0.295,0.584,0.803,0,0.0345,0.000385,0.218,0.0996,0.228,0.4855,0.0616,3,12,68,1
0.477,0.404,0.639,1,0.0279,0.743,0,0.21,0.708,0.4344,0.0435,3,9,73,1
0.623,0.455,0.6644,1,0.0348,0.383,0,0.112,0.417,0.4087,0.0596,4,2,45,0
0.234,0.693,0.7732,1,0.0408,2.82e-05,0.899,0.442,0.541,0.4429,0.04,4,6,88,1
0.336,0.379,0.6842,1,0.0376,0.895,1e-04,0.431,0.385,0.3821,0.0358,4,2,48,1
0.503,0.566,0.7748,1,0.0681,0.617,0,0.333,0.862,0.6101,0.025,4,1,6,1
0.575,0.219,0.5993,1,0.0484,0.549,0.0329,0.111,0.464,0.3947,0.0373,4,1,52,0
0.277,0.36,0.6148,1,0.0333,0.574,0,0.569,0.351,0.4547,0.054,4,5,49,0
0.418,0.227,0.6362,0,0.0379,0.912,0.822,0.0956,0.21,0.4291,0.0915,4,1,52,0
0.716,0.412,0.7017,1,0.0354,0.869,0,0.0624,0.51,0.5147,0.0358,4,6,48,1
0.584,0.229,0.5858,1,0.0344,0.88,0.0428,0.111,0.736,0.4575,0.0454,4,3,32,1
