"track","artist","uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","chorus_hit","sections","target","explicit"
"Jealous Kind Of Fella",1,"1dtKN6wwlolkM8XZy2y9C1",0.417,0.62,3,-7.727,1,0.0403,0.49,0,0.0779,0.845,185.655,173533,3,32.94975,9,1,0
"Initials B.B.",2,"5hjsmSnUefdUqzsDogisiX",0.498,0.505,3,-12.475,1,0.0337,0.018,0.107,0.176,0.797,101.801,213613,4,48.8251,10,0,0
"Mi Bomba Sonó",4,"7aNjMJ05FvUXACPWZ7yJmv",0.59,0.545,7,-12.058,0,0.104,0.706,0.0246,0.061,0.967,105.592,157907,4,24.75484,8,0,0
"Samba De Uma Nota So (One Note Samba)",7,"62eoocmGk59EMfuRcLBvUL",0.662,0.272,0,-18.883,1,0.0313,0.36,0.228,0.0963,0.591,143.507,134360,4,47.82155,7,0,0
"Carolina - Remastered 2006",9,"15gNqKkZN9Mq9AvnRqWJKb",0.545,0.22,2,-15.079,0,0.0828,0.582,0.239,0.269,0.386,118.223,158413,4,47.08099,6,0,0
"I Can Hear Music",10,"1hcMfYTsRTC4hIKbfosxjz",0.511,0.603,2,-7.637,1,0.028,0.0385,1.67e-06,0.142,0.685,128.336,157293,4,43.36534,9,1,0
"Ride Away",12,"1nxSCulSg5AtmExqgHPPC0",0.52,0.411,9,-12.411,1,0.0315,0.786,0.0012,0.146,0.35,120.29,207573,4,37.54527,9,1,0
"Caboclo Nordestino",13,"1IFkSZaIT1j6O4GO6N3Pqd",0.717,0.565,2,-8.606,0,0.0283,0.451,0,0.108,0.961,100.757,134507,4,49.41165,6,0,0
"P.T. 109",14,"3vfNUZeVUiwWXwsEXjagqL",0.746,0.666,2,-10.408,1,0.146,0.543,0,0.0488,0.84,94.024,192427,4,78.59848,5,1,0
"A Festa dos Seus 15 Anos",16,"6ON2VernjxCS5z6lHdoGFl",0.521,0.396,5,-12.299,1,0.0463,0.576,0.000893,0.462,0.599,82.628,179600,4,48.36482,8,0,0
"Alfômega - Remastered 2006",9,"4DEodNc5zttV2UGiKMqtGw",0.493,0.666,11,-8.209,1,0.0967,0.041,4.42e-05,0.351,0.519,123.446,357747,4,90.21302,14,0,0
"I'm Here To Get My Baby Out Of Jail",20,"1E5cZzKmVgLLJcLI6HPbn4",0.48,0.225,3,-15.402,1,0.031,0.78,0,0.0877,0.58,128.017,217907,4,25.38117,13,1,0
"Yester-Me, Yester-You, Yesterday",21,"0l9RGwc48deJ6j61KXAAvs",0.604,0.357,6,-11.419,1,0.0269,0.0311,0,0.0927,0.638,100.721,185293,4,21.60974,9,1,0
"Dominica Prima Adventus. Alleluia, Ostende: VIII Mode",22,"6ZUVIQacko5RG3R4AKH9vC",0.213,0.0581,8,-22.425,0,0.0487,0.982,0.69,0.167,0.0395,84.048,175453,4,60.08926,6,0,0
"Montague Terrace (In Blue)",23,"0X7N5udP0MTvfsikLHfHrR",0.427,0.14,9,-19.857,0,0.034,0.549,1.03e-06,0.0443,0.293,137.787,207293,4,70.51508,8,0,0
"Cien Kilos de Barro (100 Pounds of Clay)",29,"4EuH5egzbPHEXadXd86uLu",0.528,0.493,0,-12.346,1,0.0298,0.414,0,0.674,0.888,118.575,156507,4,29.90294,8,0,0
"Come Rain Or Come Shine",30,"2htH7r8oqqEwp3BB6oh2cU",0.357,0.216,3,-12.833,1,0.0343,0.767,4.31e-06,0.531,0.283,119.57,222733,4,37.34774,10,1,0
"Caprice viennois",31,"2KGzzTDGv5cRSs8tmfzPLB",0.283,0.0811,11,-20.653,1,0.047,0.982,0.771,0.0897,0.0797,88.961,236080,4,20.71075,12,0,0
"If You Never Come To Me (Inútil Paisagen)",7,"1Dv7lvKVxBJg9fCWTA7Dt0",0.337,0.172,0,-16.735,1,0.031,0.784,0.000454,0.102,0.106,97.055,131587,4,41.29263,5,0,0
"Ebrio",33,"09HWxCp7DZmbBJn6Dg1ob8",0.565,0.358,0,-8.442,0,0.0259,0.579,0,0.198,0.535,100.826,155307,4,44.69729,10,0,0
"I Idolize You",34,"7DLwLYJH0AJte6XK9ZTmOc",0.743,0.398,2,-8.328,0,0.048,0.808,0,0.106,0.833,118.568,170827,4,28.82001,9,1,0
"Españolito",35,"1QxwjJhroDhlT7BC77Rlbt",0.555,0.658,0,-4.487,1,0.0445,0.164,0,0.0363,0.44,120.911,77907,4,40.76595,4,0,0
"See You In September",36,"2caREKLVN9PbVDe9EPzXjc",0.519,0.422,4,-8.732,1,0.0282,0.864,0,0.332,0.803,128.956,147227,4,30.01333,9,1,0
"Where Did Our Love Go",37,"69RH84na5iUNwrwxpgjC5j",0.566,0.49,0,-10.867,1,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,153333,4,21.35312,9,1,0
"Inolvidable",38,"4WWYBTpa9J6A7RZht1LtzW",0.257,0.378,5,-9.61,1,0.0329,0.739,6.12e-05,0.12,0.385,81.541,193853,4,28.47678,11,0,0
"How Sweet It Is To Be Loved By You",40,"2zF8ro2hX0aEYaqXQdEKW1",0.653,0.49,0,-10.106,1,0.0408,0.323,4.13e-06,0.0832,0.963,110.202,177773,4,45.44257,8,1,0
"Si Tuviera Tu Amor",43,"0zN3hKYeFGdu1MzPjZKUVA",0.597,0.365,2,-12.031,0,0.0794,0.458,0,0.438,0.782,127.97,159133,4,53.1298,8,0,0
"For What It's Worth",45,"4la9jiqXYHQlEwbRhqYsd7",0.763,0.621,2,-9.908,1,0.0374,0.655,0,0.158,0.825,103.309,144320,4,33.20734,6,1,0
"Take The ""A"" Train",46,"0OOA8Spapd6e7egjXzO55Z",0.468,0.756,0,-7.37,1,0.0969,0.619,0.956,0.319,0.718,124.191,166147,4,30.49287,10,0,0
"La Suegra (Mother in Law)",47,"2VP5MCr94Weu9VEiGcNjts",0.583,0.556,8,-12.165,0,0.0339,0.372,0,0.676,0.783,133.215,150373,4,59.0632,7,0,0
"Boi Bumbá",13,"2snTBcopXQK60YFdRqWGHZ",0.611,0.697,9,-8.43,1,0.0437,0.406,0,0.24,0.971,139.521,182067,4,36.37854,9,0,0
"Werewolf Watusi",48,"1nF0BDdg5b9grwiYWSlh80",0.762,0.496,7,-12.845,0,0.289,0.493,0,0.325,0.704,122.049,155121,4,34.19932,9,0,0
"Esta Noite Me Embriago (Esta Noche Me Emborracho)",49,"6anfUhkWKCJ96yDcJCTPKd",0.603,0.513,1,-7.329,1,0.0582,0.843,0,0.357,0.732,121.325,193282,4,32.60556,10,0,0
"Baby You're A Rich Man",27,"0JBvtprXP2Z0LP3jmzA7Xp",0.619,0.625,7,-9.635,1,0.036,0.0119,1.05e-06,0.152,0.467,96.751,181307,4,21.41004,9,1,0
"Il faut savoir",52,"49JOhwYn6wFbuDakUskuOv",0.492,0.47,0,-8.732,1,0.0275,0.703,0,0.373,0.559,110.284,188307,3,41.04032,10,0,0
"Ya Parte el Galgo Terrible",53,"7hp9YYJ9xwR6EasS4eEEdI",0.728,0.669,9,-8.755,0,0.24,0.857,0,0.11,0.862,126.755,111827,3,28.09344,7,0,0
"Happy Birthday, Sweet Sixteen",54,"5ttys6S3vGWCgOpiuB5axN",0.498,0.796,8,-4.882,1,0.0453,0.607,0,0.3,0.906,79.648,157027,4,30.47367,9,1,0
"Sad, Sad Girl",58,"5lSElmz9CNo1FZJRwrmnQx",0.306,0.495,5,-7.663,1,0.0273,0.621,0,0.37,0.666,165.462,193733,3,39.36782,10,1,0
"Amor",60,"2U95mnxcqpr394uCZncG4R",0.548,0.566,10,-11.876,1,0.0307,0.672,1.22e-05,0.112,0.805,100.813,187400,4,40.80977,10,1,0
"There'll Come A Time",62,"1F9EDKGRTOTZwQ3xje2n55",0.66,0.743,8,-6.881,1,0.0325,0.302,0.0205,0.134,0.96,122.668,155867,4,33.07734,8,1,0
"Out Of Limits",68,"7xAJpAeopaV6rilu3iiwME",0.485,0.779,7,-14.235,1,0.039,0.367,0.432,0.18,0.483,133.223,129293,4,63.91615,8,1,0
"The Letter",69,"6RJK553YhstRzyKA4mug09",0.638,0.428,9,-12.156,0,0.0687,0.252,0,0.132,0.901,139.434,112800,4,21.22195,6,1,0
"Canción Mixteca (Qué Lejos Estoy)",70,"5YiWWyZGN1X8WLGw4Az17h",0.468,0.102,11,-17.171,1,0.0381,0.995,0.000853,0.166,0.312,165.59,177253,4,36.73757,9,0,0
"People Are Strange",73,"1Jmqubf9kGkWeYQXQKImL5",0.699,0.467,4,-8.578,0,0.0375,0.685,0,0.315,0.764,119.287,130173,4,40.04655,8,1,0
"Comment te dire adieu - Remasterisé en 2016",76,"6g5qyQrAcoBX4X7XjxBoTO",0.711,0.586,10,-9.78,0,0.0514,0.435,6.48e-06,0.15,0.931,124.058,148507,4,57.92996,7,0,0
"Medley: Mode D-Trio and Group Dancers/Mode E- Single solos and Group Dance/ModeF-Group and Solo Dance",77,"6La6a40pMKEoxtpmruuzaP",0.304,0.519,8,-8.825,1,0.0359,0.21,0.00187,0.221,0.294,101.289,1119400,4,41.68337,41,0,0
"Sebastiana",78,"574L9iq6vqO8EmTPUuQFKF",0.567,0.539,11,-13.61,1,0.126,0.292,0,0.0594,0.933,138.105,144627,4,54.7542,7,0,0
"Bold Soul Sister",34,"6g2RtR71Qj12dKQIwPpFJc",0.775,0.688,3,-12.959,1,0.0699,0.224,0.0411,0.117,0.93,94.143,158508,4,42.2136,8,1,0
"The Young Person's Guide to the Orchestra, Op. 34 (Variations and Fugue on a Theme of Purcell): Theme A. Allegro maestoso e largamente",81,"4Ry4jlZF6yt9b8HMpMFPls",0.559,0.121,2,-19.291,0,0.443,0.888,0,0.651,0.443,82.343,60067,4,32.68329,3,0,0
"Ain't That Just Like Me",83,"3OHz1Hr64jByifpOS61exg",0.371,0.929,9,-5.37,1,0.133,0.646,0,0.348,0.836,157.875,145227,4,34.36707,7,1,0
"Atlantis",86,"0kcEK7YuNNfE7jiTnXS1cm",0.326,0.313,0,-16.17,1,0.0348,0.177,0.000569,0.0828,0.344,76.785,302640,4,33.53011,13,1,0
"Julia",89,"75g38CqUeSfxh89MM1roXK",0.471,0.579,0,-12.62,1,0.0278,0.123,0.68,0.429,0.386,93.206,259360,4,41.9211,12,1,0
"Country Blues",92,"4TXtgaRXTR68GKG9p9bZQU",0.563,0.447,0,-15.218,1,0.0323,0.81,0.00484,0.186,0.743,127.384,213000,4,25.19069,12,0,0
"Mississippi River Blues",93,"2RYcc5BtFsYMxuvIrOoz8B",0.597,0.29,2,-9.367,1,0.0507,0.821,0,0.287,0.377,107.706,179733,4,18.3724,10,0,0
"Brazil (Aka Aquarela do Brasil)",7,"6tkseXybAYPQUNl2FFxnA7",0.519,0.38,10,-22.881,0,0.0378,0.384,0.889,0.0659,0.72,112.145,579467,4,41.12642,29,0,0
"Le nozze di Figaro, K.492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",94,"7oMlqOqSLszoitbRQTKAen",0.218,0.0625,10,-22.482,1,0.0463,0.991,1.82e-05,0.427,0.0826,79.981,210533,4,51.91726,9,0,0
"Just Out Of Reach (Of My Two Empty Arms)",97,"2vIDyd6H5Cdg1vybC8y2iV",0.374,0.148,7,-15.452,1,0.0305,0.467,7.25e-05,0.244,0.51,177.214,213573,3,29.53272,12,1,0
"Guaguancó En Tropicana",98,"0glxeAEM9wVVjIMf3EUSHr",0.587,0.715,3,-5.48,1,0.115,0.482,0,0.0976,0.951,155.946,206021,4,67.47362,8,0,0
"Cara-Lin",105,"4jQAWmK7RTRWaofM5n2NhK",0.748,0.788,2,-11.284,1,0.067,0.135,3.81e-06,0.501,0.626,130.506,162333,4,19.26742,10,1,0
"Personne",2,"4wDcIqExxIvxrIjVCFjGHU",0.549,0.289,0,-16.129,1,0.0486,0.761,0,0.0694,0.45,111.828,164440,4,32.25757,8,0,0
"Nothing But Heartaches",37,"3ZmUwVr5MlayCju9FzAgVL",0.579,0.554,5,-8.896,1,0.0286,0.084,0,0.219,0.491,124.067,177867,4,32.6183,8,1,0
"She Loves You",27,"6nEkxYIEnrbYH7h1hJ8Xn6",0.377,0.916,4,-3.199,0,0.0481,0.26,0,0.074,0.912,75.533,140920,4,33.98704,7,1,0
"I Don't Know Why",21,"2CwNOqVypdZfKA8lXQKSUb",0.42,0.483,1,-13.608,1,0.033,0.165,0,0.111,0.533,93.834,167027,4,36.89252,7,1,0
"I Love You Because",116,"5ggafYsNyKhTR9bISS3OPj",0.29,0.2,8,-12.748,1,0.0275,0.894,0.000569,0.221,0.233,88.654,163400,4,24.92348,9,1,0
"Ecstasy",60,"0QbsvbqaBx4fNQJpfVvbAs",0.683,0.673,7,-10.406,1,0.0421,0.19,0,0.561,0.756,120.823,152976,4,24.59862,7,1,0
"Tómate una Copa",120,"1n6TpQOecoX3OdVpHb72Gv",0.394,0.18,9,-15.943,1,0.0355,0.965,0.00826,0.118,0.475,107.516,173773,4,21.89732,12,0,0
"Sur le chemin du retour",52,"6DzvXKt42A4vkzK5iTylbf",0.566,0.511,0,-8.13,0,0.0353,0.773,0,0.299,0.747,127.417,143573,4,47.77083,7,0,0
"Amore in fiore",117,"2r0ROCyDqxOUjEAKTveN9d",0.094,0.104,7,-22.329,0,0.0316,0.985,0.943,0.158,0.0817,76.555,127107,1,83.21777,5,0,0
"Charles, Anjo 45",125,"3lNGmnqX0xaiHRI726Lv9L",0.404,0.947,6,-4.692,1,0.149,0.615,2.95e-06,0.676,0.482,96.118,290893,4,19.77103,11,0,0
"Who'll Be The Next In Line",127,"4crnyaZ12tALWTrshdIGFZ",0.33,0.858,11,-5.134,0,0.0552,0.052,0,0.0752,0.923,161.385,122627,4,27.08669,8,1,0
"Here In My Heart",116,"0mRAY4VhmgEsBvLEFxB6Vm",0.177,0.279,9,-10.951,0,0.0312,0.8,0.0024,0.153,0.155,82.967,193373,3,20.98618,9,1,0
"You Didn't Have To Be So Nice",131,"7khsvqWYjms5UASgLb8bft",0.638,0.622,1,-10.035,0,0.0265,0.809,0.00385,0.0416,0.871,130.354,146400,4,21.2237,9,1,0
"Sweet Dreams (Of You)",134,"0gnQsZ607gfNhIUqCNFC1G",0.321,0.0227,8,-22.698,1,0.0349,0.953,0,0.313,0.312,83.319,155733,4,23.66008,8,1,0
"I Can Make It With You",135,"7LWUt6WCJsTUBjVl2GhpOK",0.537,0.424,1,-11.448,1,0.0562,0.109,0,0.238,0.665,119.392,132453,4,21.89757,8,1,0
"Alejandra",136,"3zkUic9IGaNom8fIv05NwD",0.379,0.276,9,-10.561,0,0.0465,0.747,0,0.186,0.521,151.211,184133,3,45.34149,11,0,0
"Ballade pour toi (Ce que je cherche est en toi)",137,"4w27C2NCcLuCmr3omUXH89",0.369,0.386,4,-9.105,1,0.03,0.866,8.37e-06,0.122,0.325,116.428,160267,4,22.81274,11,0,0
"Mustang Sally",138,"5Sz09kaSzvpTC8lgm5W8Mt",0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438,187760,4,27.65453,11,1,0
"Let's Twist Again",140,"1INWPr855fwWdAOeecbu0W",0.604,0.709,8,-6.377,1,0.158,0.0987,0,0.0551,0.907,167.832,137360,4,38.78992,9,1,0
"Bracelets Of Fingers",143,"6g6N0HhdpogmRlBKNMZJFj",0.304,0.453,11,-12.143,1,0.045,0.124,8.67e-06,0.332,0.387,94.919,221013,1,32.68509,9,0,0
"House For Everyone",144,"04LnYIwoE0buXY2KISiqka",0.565,0.549,0,-13.023,1,0.0618,0.583,0,0.236,0.769,121.97,123160,4,19.38835,7,0,0
"Club Verde",136,"5bWB0qrX38UbAAryEVVSvH",0.315,0.313,7,-9.31,1,0.0466,0.779,3.66e-06,0.104,0.329,174.92,216133,3,46.0885,11,0,0
"Forever",146,"5rWyKJMaTXL0TArnJ8IGts",0.519,0.45,5,-9.133,1,0.0244,0.281,6.12e-06,0.152,0.549,72.115,143161,4,61.24355,6,1,0
"Brother Love's Travelling Salvation Show",148,"39S2xu12I1IwMVqSvoORSh",0.428,0.432,8,-11.58,1,0.0288,0.575,0.00933,0.0888,0.808,135.142,211862,4,33.76803,11,1,0
"Ojitos Verdes",53,"5QI2w79zmjbsHirLRipucg",0.718,0.572,11,-9.709,0,0.0603,0.903,3.37e-05,0.0816,0.684,133.386,230087,3,25.52221,10,0,0
"Las Moscas",35,"5a6kTSmChEbhY08in66WF4",0.484,0.412,2,-6.509,1,0.0345,0.855,0,0.135,0.772,135.355,142067,4,44.58351,5,0,0
"What The World Needs Now Is Love",150,"1fjOO2k5k2vjg6TrvPJ2NS",0.445,0.407,1,-9.501,1,0.0302,0.814,0,0.0964,0.531,105.7,186400,4,36.37958,9,1,0
"Shagu",151,"1415cdBOLOywaoB4vIv7ln",0.494,0.632,10,-12.71,0,0.0271,0.89,0.0144,0.154,0.95,133.49,185480,4,26.29471,9,0,0
"Die Zauberflöte, K.620 / Erster Aufzug: ""Der Vogelfänger bin ich ja""",94,"0SIQqyYw4AVS9HoQ4lcoSi",0.546,0.156,2,-18.601,1,0.0617,0.942,8.83e-06,0.226,0.466,80.106,154667,4,55.32668,8,0,0
"There Will Never Be Another You",154,"3s5WerS0heEMyikkSgwUqJ",0.579,0.332,5,-16.673,0,0.035,0.904,0.898,0.243,0.774,81.795,257093,4,34.84242,9,0,0
"I Can't Stop Dancing",157,"3evKZi4dI9Nw7Hit26XFN9",0.565,0.729,0,-7.75,1,0.163,0.656,0.000147,0.0492,0.818,122.291,141373,4,30.88114,9,1,0
