"track","artist","uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","chorus_hit","sections","target","explicit"
"Jealous Kind Of Fella",1,"1dtKN6wwlolkM8XZy2y9C1",0.417,0.62,3,0.7528,1,0.0403,0.49,0,0.0779,0.845,0.854,0.0886,3,0.1255,9,1,0
"Initials B.B.",2,"5hjsmSnUefdUqzsDogisiX",0.498,0.505,3,0.6505,1,0.0337,0.018,0.107,0.176,0.797,0.4683,0.1136,4,0.1859,10,0,0
"Mi Bomba Sonó",4,"7aNjMJ05FvUXACPWZ7yJmv",0.59,0.545,7,0.6595,0,0.104,0.706,0.0246,0.061,0.967,0.4857,0.0789,4,0.0943,8,0,0
"Samba De Uma Nota So (One Note Samba)",7,"62eoocmGk59EMfuRcLBvUL",0.662,0.272,0,0.5124,1,0.0313,0.36,0.228,0.0963,0.591,0.6601,0.0643,4,0.1821,7,0,0
"Carolina - Remastered 2006",9,"15gNqKkZN9Mq9AvnRqWJKb",0.545,0.22,2,0.5944,0,0.0828,0.582,0.239,0.269,0.386,0.5438,0.0792,4,0.1793,6,0,0
"I Can Hear Music",10,"1hcMfYTsRTC4hIKbfosxjz",0.511,0.603,2,0.7547,1,0.028,0.0385,0,0.142,0.685,0.5903,0.0785,4,0.1651,9,1,0
"Ride Away",12,"1nxSCulSg5AtmExqgHPPC0",0.52,0.411,9,0.6519,1,0.0315,0.786,0.0012,0.146,0.35,0.5533,0.1098,4,0.143,9,1,0
"Caboclo Nordestino",13,"1IFkSZaIT1j6O4GO6N3Pqd",0.717,0.565,2,0.7339,0,0.0283,0.451,0,0.108,0.961,0.4635,0.0644,4,0.1882,6,0,0
"P.T. 109",14,"3vfNUZeVUiwWXwsEXjagqL",0.746,0.666,2,0.695,1,0.146,0.543,0,0.0488,0.84,0.4325,0.1004,4,0.2993,5,1,0
"A Festa dos Seus 15 Anos",16,"6ON2VernjxCS5z6lHdoGFl",0.521,0.396,5,0.6543,1,0.0463,0.576,9e-04,0.462,0.599,0.3801,0.0924,4,0.1842,8,0,0
"Alfômega - Remastered 2006",9,"4DEodNc5zttV2UGiKMqtGw",0.493,0.666,11,0.7424,1,0.0967,0.041,0,0.351,0.519,0.5678,0.2033,4,0.3435,14,0,0
"I'm Here To Get My Baby Out Of Jail",20,"1E5cZzKmVgLLJcLI6HPbn4",0.48,0.225,3,0.5874,1,0.031,0.78,0,0.0877,0.58,0.5889,0.1163,4,0.0966,13,1,0
"Yester-Me, Yester-You, Yesterday",21,"0l9RGwc48deJ6j61KXAAvs",0.604,0.357,6,0.6732,1,0.0269,0.0311,0,0.0927,0.638,0.4633,0.096,4,0.0823,9,1,0
"Dominica Prima Adventus. Alleluia, Ostende: VIII Mode",22,"6ZUVIQacko5RG3R4AKH9vC",0.213,0.0581,8,0.4361,0,0.0487,0.982,0.69,0.167,0.0395,0.3866,0.0898,4,0.2288,6,0,0
"Montague Terrace (In Blue)",23,"0X7N5udP0MTvfsikLHfHrR",0.427,0.14,9,0.4914,0,0.034,0.549,0,0.0443,0.293,0.6338,0.1097,4,0.2685,8,0,0
"Cien Kilos de Barro (100 Pounds of Clay)",29,"4EuH5egzbPHEXadXd86uLu",0.528,0.493,0,0.6533,1,0.0298,0.414,0,0.674,0.888,0.5454,0.078,4,0.1139,8,0,0
"Come Rain Or Come Shine",30,"2htH7r8oqqEwp3BB6oh2cU",0.357,0.216,3,0.6428,1,0.0343,0.767,0,0.531,0.283,0.55,0.1193,4,0.1422,10,1,0
"Caprice viennois",31,"2KGzzTDGv5cRSs8tmfzPLB",0.283,0.0811,11,0.4742,1,0.047,0.982,0.771,0.0897,0.0797,0.4092,0.1276,4,0.0789,12,0,0
"If You Never Come To Me (Inútil Paisagen)",7,"1Dv7lvKVxBJg9fCWTA7Dt0",0.337,0.172,0,0.5587,1,0.031,0.784,5e-04,0.102,0.106,0.4464,0.0625,4,0.1572,5,0,0
"Ebrio",33,"09HWxCp7DZmbBJn6Dg1ob8",0.565,0.358,0,0.7374,0,0.0259,0.579,0,0.198,0.535,0.4638,0.0773,4,0.1702,10,0,0
"I Idolize You",34,"7DLwLYJH0AJte6XK9ZTmOc",0.743,0.398,2,0.7399,0,0.048,0.808,0,0.106,0.833,0.5454,0.087,4,0.1097,9,1,0
"Españolito",35,"1QxwjJhroDhlT7BC77Rlbt",0.555,0.658,0,0.8226,1,0.0445,0.164,0,0.0363,0.44,0.5562,0.0291,4,0.1552,4,0,0
"See You In September",36,"2caREKLVN9PbVDe9EPzXjc",0.519,0.422,4,0.7311,1,0.0282,0.864,0,0.332,0.803,0.5932,0.0723,4,0.1143,9,1,0
"Where Did Our Love Go",37,"69RH84na5iUNwrwxpgjC5j",0.566,0.49,0,0.6851,1,0.0414,0.791,0,0.0919,0.847,0.6207,0.0761,4,0.0813,9,1,0
"Inolvidable",38,"4WWYBTpa9J6A7RZht1LtzW",0.257,0.378,5,0.7122,1,0.0329,0.739,1e-04,0.12,0.385,0.3751,0.1013,4,0.1084,11,0,0
"How Sweet It Is To Be Loved By You",40,"2zF8ro2hX0aEYaqXQdEKW1",0.653,0.49,0,0.7015,1,0.0408,0.323,0,0.0832,0.963,0.5069,0.0913,4,0.173,8,1,0
"Si Tuviera Tu Amor",43,"0zN3hKYeFGdu1MzPjZKUVA",0.597,0.365,2,0.6601,0,0.0794,0.458,0,0.438,0.782,0.5886,0.0797,4,0.2023,8,0,0
"For What It's Worth",45,"4la9jiqXYHQlEwbRhqYsd7",0.763,0.621,2,0.7058,1,0.0374,0.655,0,0.158,0.825,0.4752,0.0705,4,0.1264,6,1,0
"Take The ""A"" Train",46,"0OOA8Spapd6e7egjXzO55Z",0.468,0.756,0,0.7605,1,0.0969,0.619,0.956,0.319,0.718,0.5713,0.084,4,0.1161,10,0,0
"La Suegra (Mother in Law)",47,"2VP5MCr94Weu9VEiGcNjts",0.583,0.556,8,0.6572,0,0.0339,0.372,0,0.676,0.783,0.6128,0.0742,4,0.2249,7,0,0
"Boi Bumbá",13,"2snTBcopXQK60YFdRqWGHZ",0.611,0.697,9,0.7377,1,0.0437,0.406,0,0.24,0.971,0.6418,0.094,4,0.1385,9,0,0
"Werewolf Watusi",48,"1nF0BDdg5b9grwiYWSlh80",0.762,0.496,7,0.6425,0,0.289,0.493,0,0.325,0.704,0.5614,0.0772,4,0.1302,9,0,0
"Esta Noite Me Embriago (Esta Noche Me Emborracho)",49,"6anfUhkWKCJ96yDcJCTPKd",0.603,0.513,1,0.7614,1,0.0582,0.843,0,0.357,0.732,0.5581,0.1009,4,0.1242,10,0,0
"Baby You're A Rich Man",27,"0JBvtprXP2Z0LP3jmzA7Xp",0.619,0.625,7,0.7117,1,0.036,0.0119,0,0.152,0.467,0.445,0.0935,4,0.0815,9,1,0
"Il faut savoir",52,"49JOhwYn6wFbuDakUskuOv",0.492,0.47,0,0.7311,1,0.0275,0.703,0,0.373,0.559,0.5073,0.0978,3,0.1563,10,0,0
"Ya Parte el Galgo Terrible",53,"7hp9YYJ9xwR6EasS4eEEdI",0.728,0.669,9,0.7306,0,0.24,0.857,0,0.11,0.862,0.5831,0.0502,3,0.107,7,0,0
"Happy Birthday, Sweet Sixteen",54,"5ttys6S3vGWCgOpiuB5axN",0.498,0.796,8,0.8141,1,0.0453,0.607,0,0.3,0.906,0.3664,0.0784,4,0.116,9,1,0
"Sad, Sad Girl",58,"5lSElmz9CNo1FZJRwrmnQx",0.306,0.495,5,0.7542,1,0.0273,0.621,0,0.37,0.666,0.7611,0.1012,3,0.1499,10,1,0
"Amor",60,"2U95mnxcqpr394uCZncG4R",0.548,0.566,10,0.6634,1,0.0307,0.672,0,0.112,0.805,0.4637,0.0973,4,0.1554,10,1,0
"There'll Come A Time",62,"1F9EDKGRTOTZwQ3xje2n55",0.66,0.743,8,0.771,1,0.0325,0.302,0.0205,0.134,0.96,0.5643,0.0776,4,0.126,8,1,0
"Out Of Limits",68,"7xAJpAeopaV6rilu3iiwME",0.485,0.779,7,0.6126,1,0.039,0.367,0.432,0.18,0.483,0.6128,0.0611,4,0.2434,8,1,0
"The Letter",69,"6RJK553YhstRzyKA4mug09",0.638,0.428,9,0.6574,0,0.0687,0.252,0,0.132,0.901,0.6414,0.0508,4,0.0808,6,1,0
"Canción Mixteca (Qué Lejos Estoy)",70,"5YiWWyZGN1X8WLGw4Az17h",0.468,0.102,11,0.5493,1,0.0381,0.995,9e-04,0.166,0.312,0.7617,0.091,4,0.1399,9,0,0
"People Are Strange",73,"1Jmqubf9kGkWeYQXQKImL5",0.699,0.467,4,0.7345,0,0.0375,0.685,0,0.315,0.764,0.5487,0.0617,4,0.1525,8,1,0
"Comment te dire adieu - Remasterisé en 2016",76,"6g5qyQrAcoBX4X7XjxBoTO",0.711,0.586,10,0.7086,0,0.0514,0.435,0,0.15,0.931,0.5707,0.0731,4,0.2206,7,0,0
"Medley: Mode D-Trio and Group Dancers/Mode E- Single solos and Group Dance/ModeF-Group and Solo Dance",77,"6La6a40pMKEoxtpmruuzaP",0.304,0.519,8,0.7291,1,0.0359,0.21,0.0019,0.221,0.294,0.4659,0.6773,4,0.1587,41,0,0
"Sebastiana",78,"574L9iq6vqO8EmTPUuQFKF",0.567,0.539,11,0.626,1,0.126,0.292,0,0.0594,0.933,0.6353,0.0707,4,0.2085,7,0,0
"Bold Soul Sister",34,"6g2RtR71Qj12dKQIwPpFJc",0.775,0.688,3,0.6401,1,0.0699,0.224,0.0411,0.117,0.93,0.433,0.0793,4,0.1607,8,1,0
"The Young Person's Guide to the Orchestra, Op. 34 (Variations and Fugue on a Theme of Purcell): Theme A. Allegro maestoso e largamente",81,"4Ry4jlZF6yt9b8HMpMFPls",0.559,0.121,2,0.5036,0,0.443,0.888,0,0.651,0.443,0.3788,0.018,4,0.1245,3,0,0
"Ain't That Just Like Me",83,"3OHz1Hr64jByifpOS61exg",0.371,0.929,9,0.8036,1,0.133,0.646,0,0.348,0.836,0.7262,0.071,4,0.1309,7,1,0
"Atlantis",86,"0kcEK7YuNNfE7jiTnXS1cm",0.326,0.313,0,0.5709,1,0.0348,0.177,6e-04,0.0828,0.344,0.3532,0.169,4,0.1277,13,1,0
"Julia",89,"75g38CqUeSfxh89MM1roXK",0.471,0.579,0,0.6474,1,0.0278,0.123,0.68,0.429,0.386,0.4287,0.1421,4,0.1596,12,1,0
"Country Blues",92,"4TXtgaRXTR68GKG9p9bZQU",0.563,0.447,0,0.5914,1,0.0323,0.81,0.0048,0.186,0.743,0.586,0.1132,4,0.0959,12,0,0
"Mississippi River Blues",93,"2RYcc5BtFsYMxuvIrOoz8B",0.597,0.29,2,0.7175,1,0.0507,0.821,0,0.287,0.377,0.4954,0.0925,4,0.07,10,0,0
"Brazil (Aka Aquarela do Brasil)",7,"6tkseXybAYPQUNl2FFxnA7",0.519,0.38,10,0.4262,0,0.0378,0.384,0.889,0.0659,0.72,0.5159,0.3413,4,0.1566,29,0,0
"Le nozze di Figaro, K.492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",94,"7oMlqOqSLszoitbRQTKAen",0.218,0.0625,10,0.4348,1,0.0463,0.991,0,0.427,0.0826,0.3679,0.1117,4,0.1977,9,0,0
"Just Out Of Reach (Of My Two Empty Arms)",97,"2vIDyd6H5Cdg1vybC8y2iV",0.374,0.148,7,0.5863,1,0.0305,0.467,1e-04,0.244,0.51,0.8152,0.1136,3,0.1125,12,1,0
"Guaguancó En Tropicana",98,"0glxeAEM9wVVjIMf3EUSHr",0.587,0.715,3,0.8012,1,0.115,0.482,0,0.0976,0.951,0.7173,0.1089,4,0.2569,8,0,0
"Cara-Lin",105,"4jQAWmK7RTRWaofM5n2NhK",0.748,0.788,2,0.6761,1,0.067,0.135,0,0.501,0.626,0.6003,0.0817,4,0.0734,10,1,0
"Personne",2,"4wDcIqExxIvxrIjVCFjGHU",0.549,0.289,0,0.5717,1,0.0486,0.761,0,0.0694,0.45,0.5144,0.083,4,0.1228,8,0,0
"Nothing But Heartaches",37,"3ZmUwVr5MlayCju9FzAgVL",0.579,0.554,5,0.7276,1,0.0286,0.084,0,0.219,0.491,0.5707,0.0913,4,0.1242,8,1,0
"She Loves You",27,"6nEkxYIEnrbYH7h1hJ8Xn6",0.377,0.916,4,0.8504,0,0.0481,0.26,0,0.074,0.912,0.3474,0.0683,4,0.1294,7,1,0
"I Don't Know Why",21,"2CwNOqVypdZfKA8lXQKSUb",0.42,0.483,1,0.6261,1,0.033,0.165,0,0.111,0.533,0.4316,0.0846,4,0.1405,7,1,0
"I Love You Because",116,"5ggafYsNyKhTR9bISS3OPj",0.29,0.2,8,0.6446,1,0.0275,0.894,6e-04,0.221,0.233,0.4078,0.0823,4,0.0949,9,1,0
"Ecstasy",60,"0QbsvbqaBx4fNQJpfVvbAs",0.683,0.673,7,0.6951,1,0.0421,0.19,0,0.561,0.756,0.5558,0.0758,4,0.0937,7,1,0
"Tómate una Copa",120,"1n6TpQOecoX3OdVpHb72Gv",0.394,0.18,9,0.5757,1,0.0355,0.965,0.0083,0.118,0.475,0.4946,0.0888,4,0.0834,12,0,0
"Sur le chemin du retour",52,"6DzvXKt42A4vkzK5iTylbf",0.566,0.511,0,0.7441,0,0.0353,0.773,0,0.299,0.747,0.5861,0.07,4,0.1819,7,0,0
"Amore in fiore",117,"2r0ROCyDqxOUjEAKTveN9d",0.094,0.104,7,0.4381,0,0.0316,0.985,0.943,0.158,0.0817,0.3521,0.0597,1,0.3169,5,0,0
"Charles, Anjo 45",125,"3lNGmnqX0xaiHRI726Lv9L",0.404,0.947,6,0.8182,1,0.149,0.615,0,0.676,0.482,0.4421,0.1617,4,0.0753,11,0,0
"Who'll Be The Next In Line",127,"4crnyaZ12tALWTrshdIGFZ",0.33,0.858,11,0.8087,0,0.0552,0.052,0,0.0752,0.923,0.7424,0.057,4,0.1031,8,1,0
"Here In My Heart",116,"0mRAY4VhmgEsBvLEFxB6Vm",0.177,0.279,9,0.6833,0,0.0312,0.8,0.0024,0.153,0.155,0.3816,0.101,3,0.0799,9,1,0
"You Didn't Have To Be So Nice",131,"7khsvqWYjms5UASgLb8bft",0.638,0.622,1,0.7031,0,0.0265,0.809,0.0039,0.0416,0.871,0.5996,0.0718,4,0.0808,9,1,0
"Sweet Dreams (Of You)",134,"0gnQsZ607gfNhIUqCNFC1G",0.321,0.0227,8,0.4302,1,0.0349,0.953,0,0.313,0.312,0.3833,0.0776,4,0.0901,8,1,0
"I Can Make It With You",135,"7LWUt6WCJsTUBjVl2GhpOK",0.537,0.424,1,0.6726,1,0.0562,0.109,0,0.238,0.665,0.5492,0.0631,4,0.0834,8,1,0
"Alejandra",136,"3zkUic9IGaNom8fIv05NwD",0.379,0.276,9,0.6917,0,0.0465,0.747,0,0.186,0.521,0.6956,0.0952,3,0.1727,11,0,0
"Ballade pour toi (Ce que je cherche est en toi)",137,"4w27C2NCcLuCmr3omUXH89",0.369,0.386,4,0.7231,1,0.03,0.866,0,0.122,0.325,0.5356,0.0804,4,0.0869,11,0,0
"Mustang Sally",138,"5Sz09kaSzvpTC8lgm5W8Mt",0.725,0.327,0,0.5376,1,0.0387,0.113,0.326,0.214,0.688,0.508,0.0975,4,0.1053,11,1,0
"Let's Twist Again",140,"1INWPr855fwWdAOeecbu0W",0.604,0.709,8,0.7819,1,0.158,0.0987,0,0.0551,0.907,0.772,0.0661,4,0.1477,9,1,0
"Bracelets Of Fingers",143,"6g6N0HhdpogmRlBKNMZJFj",0.304,0.453,11,0.6576,1,0.045,0.124,0,0.332,0.387,0.4366,0.1182,1,0.1245,9,0,0
"House For Everyone",144,"04LnYIwoE0buXY2KISiqka",0.565,0.549,0,0.6387,1,0.0618,0.583,0,0.236,0.769,0.561,0.0573,4,0.0738,7,0,0
"Club Verde",136,"5bWB0qrX38UbAAryEVVSvH",0.315,0.313,7,0.7187,1,0.0466,0.779,0,0.104,0.329,0.8046,0.1152,3,0.1755,11,0,0
"Forever",146,"5rWyKJMaTXL0TArnJ8IGts",0.519,0.45,5,0.7225,1,0.0244,0.281,0,0.152,0.549,0.3317,0.0697,4,0.2332,6,1,0
"Brother Love's Travelling Salvation Show",148,"39S2xu12I1IwMVqSvoORSh",0.428,0.432,8,0.6698,1,0.0288,0.575,0.0093,0.0888,0.808,0.6216,0.1125,4,0.1286,11,1,0
"Ojitos Verdes",53,"5QI2w79zmjbsHirLRipucg",0.718,0.572,11,0.7101,0,0.0603,0.903,0,0.0816,0.684,0.6136,0.1238,3,0.0972,10,0,0
"Las Moscas",35,"5a6kTSmChEbhY08in66WF4",0.484,0.412,2,0.779,1,0.0345,0.855,0,0.135,0.772,0.6226,0.0691,4,0.1698,5,0,0
"What The World Needs Now Is Love",150,"1fjOO2k5k2vjg6TrvPJ2NS",0.445,0.407,1,0.7146,1,0.0302,0.814,0,0.0964,0.531,0.4862,0.0966,4,0.1385,9,1,0
"Shagu",151,"1415cdBOLOywaoB4vIv7ln",0.494,0.632,10,0.6454,0,0.0271,0.89,0.0144,0.154,0.95,0.614,0.0961,4,0.1001,9,0,0
"Die Zauberflöte, K.620 / Erster Aufzug: ""Der Vogelfänger bin ich ja""",94,"0SIQqyYw4AVS9HoQ4lcoSi",0.546,0.156,2,0.5185,1,0.0617,0.942,0,0.226,0.466,0.3685,0.0769,4,0.2107,8,0,0
"There Will Never Be Another You",154,"3s5WerS0heEMyikkSgwUqJ",0.579,0.332,5,0.56,0,0.035,0.904,0.898,0.243,0.774,0.3762,0.1406,4,0.1327,9,0,0
"I Can't Stop Dancing",157,"3evKZi4dI9Nw7Hit26XFN9",0.565,0.729,0,0.7523,1,0.163,0.656,1e-04,0.0492,0.818,0.5625,0.0686,4,0.1176,9,1,0
"Baby It's You",158,"2KSwmLHkgjZCE49YFkgspo",0.595,0.471,1,0.6903,0,0.0295,0.0156,0.127,0.173,0.707,0.4389,0.1099,4,0.1227,10,1,0
"I've Gotta Get A Message To You",160,"4xCVHlmzEyIn1t4gXYsMaf",0.441,0.596,2,0.783,0,0.0281,0.037,0,0.172,0.497,0.3837,0.0911,4,0.1328,9,1,0
"If Ever I Would Leave You - Rudy Van Gelder Edition/Digital Remaster/24 Bit Mastering/1998",161,"2DPcK58j3Zms6ybVIKSIIY",0.497,0.19,10,0.6616,1,0.0342,0.98,0.908,0.0993,0.349,0.5384,0.1731,4,0.0781,18,0,0
"Yambu - Live",38,"17IchaXyxW1zHe4amKDlCv",0.459,0.61,9,0.7419,1,0.133,0.764,0,0.11,0.865,0.9293,0.1412,4,0.1243,12,0,0
"You Never Can Tell",162,"6FT83pFXKhDlXDsNJFAHWz",0.525,0.852,7,0.7142,1,0.222,0.731,1e-04,0.218,0.884,0.724,0.0814,4,0.1053,12,1,0
"Trust Us - Take 9",139,"4PM34EaMQL28lTA0A95ZXu",0.424,0.583,7,0.7121,0,0.0483,0.14,0.539,0.108,0.444,0.3958,0.2554,4,0.1041,16,0,0
"I Heard It Through The Grapevine",40,"1tqT6DhmsrtQgyCKUwotiw",0.711,0.362,3,0.6855,0,0.0382,0.272,0,0.127,0.615,0.5394,0.1016,4,0.1502,10,1,0
"Barocco",117,"1LSyCTU4wMxMtSmmA2mF8j",0.201,0.178,9,0.5646,0,0.0334,0.916,0.906,0.0565,0.0519,0.3694,0.1947,4,0.2036,17,0,0
"L'amore Dice Ciao (Main Titles)",170,"03KBBkHF2vaeRol4Qt3ccX",0.254,0.183,5,0.6301,1,0.0356,0.568,0.03,0.0952,0.289,0.8451,0.1004,4,0.0858,10,0,0
"On Your Own Again",23,"3EfSO1aKk4QDOrZhGjnTlq",0.433,0.106,6,0.5069,0,0.0364,0.825,1e-04,0.108,0.184,0.6582,0.0459,4,0.1253,6,0,0
"I'm the Urban Spaceman - 2007 Remaster",177,"0QWAOOFV9lsnC7fYHeSycS",0.63,0.525,2,0.679,1,0.0269,0.156,0,0.369,0.931,0.4128,0.0716,4,0.1171,10,0,0
"Cycles",178,"6DjRrgnIppWgyccDDEFAqe",0.477,0.148,1,0.4297,1,0.038,0.903,4e-04,0.111,0.291,0.5899,0.0991,3,0.089,13,1,0
"Give It Up Or Turnit A Loose",180,"5TQcUuSZ9VUXCxGdVj7VxO",0.703,0.88,11,0.7656,0,0.0608,0.00964,0.456,0.111,0.743,0.5279,0.2109,4,0.3573,10,1,0
